Titulo_original;Titulo_encontrado;Fuente;Sinopsis;Poster_URL;Generos;Puntuacion;Episodios;URL_Externa;Backdrop_URL;Temporadas_Detalle;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL
Dandadan;Dandadan;Jikan (MyAnimeList);Momo Ayase descubre que su familia está maldita por fantasmas cuando uno de ellos posee a su amigo Ken Takakura. La serie mezcla fenómenos paranormales con aliens de manera absurda y emocionante, siguiendo a estos dos jóvenes mientras enfrentan peligros sobrenaturales y extraterrestres.;https://cdn.myanimelist.net/images/anime/1584/143719l.jpg;Action, Comedy, Supernatural;8.41;12.0;;https://image.tmdb.org/t/p/original/uNTrRKIOyKYISthoeizghtXPEOK.jpg;T1:24;Shion Wakayama (Momo Ayase (voice)), Natsuki Hanae (Ken 'Okarun' Takakura (voice)), Mayumi Tanaka (Turbo Granny (voice)), Nana Mizuki (Seiko (voice));https://image.tmdb.org/t/p/w185/b697ggFreuliEfl4TjLgxhJCQXr.jpg, https://image.tmdb.org/t/p/w185/alTb0DlcPIbcwM08WSmxFai58sd.jpg, https://image.tmdb.org/t/p/w185/by4t1tYtEXsfbFj9TvOjozBmQla.jpg, https://image.tmdb.org/t/p/w185/rQBo7HyjTIqeB7hIofb7uJFhiVs.jpg;;Mob Psycho 100, Bleach, High School DxD, Jibaku Shounen Hanako-kun, Hanako-kun después de clase;https://www.youtube.com/watch?v=pHLEyqsxZV8
Dragon Ball GT (1996);Dragon Ball GT;Jikan (MyAnimeList);El Emperador Pilaf tiene en sus manos las Bolas de Dragón Estrella Negra, el doble de poderosas que las normales. Está a punto de pedir el dominio del mundo cuando es interrumpido por Goku, quien accidentalmente vuelve a ser un niño. Para evitar que la Tierra explote, el grupo debe recuperar las esferas esparcidas por la galaxia en un año.;https://cdn.myanimelist.net/images/anime/1262/93119l.jpg;Action, Adventure, Comedy, Fantasy;6.52;64.0;https://myanimelist.net/anime/225/Dragon_Ball_GT;https://image.tmdb.org/t/p/original/aJOlYXjxb5IvnTsO4I1tmFpC7GH.jpg;T1:64;Masako Nozawa (Son Gohan / Son Goku / Son Goten (voice)), Yuko Minaguchi (Pan / Videl (voice)), Takeshi Kusao (Trunks (voice)), Bin Shimada (Son Para / Sūgorō (voice)), Atsushi Kisaichi (Oob (voice)), Ryo Horikawa (Vegeta (voice));https://image.tmdb.org/t/p/w185/jxbXdejmPoiKnNoQz7Dkb80qC26.jpg, https://image.tmdb.org/t/p/w185/bEv0ho89VNgWkCCmT2GdNjMAuvZ.jpg, https://image.tmdb.org/t/p/w185/gDiYLUdl9zXXJmhE0bAuB1Jm3FJ.jpg, https://image.tmdb.org/t/p/w185/5jJgMyFAP3GgQtFxP2qe0oE4LHk.jpg, https://image.tmdb.org/t/p/w185/ArLyOaCrGpeTUnzLJTEaGOhvUdU.jpg, https://image.tmdb.org/t/p/w185/vZ69WQJfR5D2xow5FkddduRjq6c.jpg;;Dragon Ball Z, Dragon Ball Super, Shingeki no Bahamut, InuYasha, Naruto;https://www.youtube.com/watch?v=QilU-rhKjug
DanMachi;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka;Jikan (MyAnimeList);Bell Cranel es un aventurero novato que sueña con conocer a diosas en las profundidades del Dungeon de Orario. Bajo la protección de la diosa Hestia, Bell crece rápidamente en habilidades mientras se enfrenta a monstruos y descubre los misterios que esconde la mazmorra.;https://cdn.myanimelist.net/images/anime/1172/148981l.jpg;Action, Adventure, Fantasy;7.52;13.0;;https://image.tmdb.org/t/p/original/ard57H2UJfk9Ls50rib5lKHBiK.jpg;T1:12;Saori Onishi (Aiz Wallenstein (voice)), 木村珠莉 (Lefiya Viridis (voice)), Rie Murakawa (Tiona Hiryute (voice)), Minami Takahashi (Tione Hiryute (voice)), Yurika Kubo (Loki (voice)), Mutsumi Tamura (Finn Deimne (voice));https://image.tmdb.org/t/p/w185/cziKB19QMFJ6DQDtxTn07uRY2hq.jpg, https://image.tmdb.org/t/p/w185/rZ5bMRKTgZw2DQyIwdp6FkbPl1t.jpg, https://image.tmdb.org/t/p/w185/pawIx7uhV1a2fAHjvTnrCP0KcHX.jpg, https://image.tmdb.org/t/p/w185/9SRX6yrHGtGEJxcnLyGFhOZkXSH.jpg, https://image.tmdb.org/t/p/w185/tpzwj1J6HRq2H6xZjM5Irg7FzT2.jpg, https://image.tmdb.org/t/p/w185/uvbBIRiBK6GDLEESiYSFWOVlaE4.jpg;;Magi: Las Aventuras de Sinbad, Hitoribocchi no Isekai Kouryaku, A-Rank Party wo Ridatsu Shita Ore wa, Moto Oshiego-tachi to Meikyuu Shinbu wo Mezasu., The Strongest Tank's Labyrinth Raids, The Healer Who Was Banished From His Party, Is, in Fact, the Strongest;https://www.youtube.com/watch?v=AWHzhl4obuM
Gachiakuta;Gachiakuta;Jikan (MyAnimeList);Los habitantes de una próspera ciudad no le dan ningún valor a tirar objetos, pero esos desechos son un tesoro para Rudo, un residente de los barrios marginales. Cuando es falsamente acusado de asesinato y arrojado al Más Allá, una dimensión llena de basura y monstruos, Rudo deberá despertar un poder oculto para sobrevivir.;https://cdn.myanimelist.net/images/anime/1682/150432l.jpg;Action, Fantasy;8.21;24.0;https://myanimelist.net/anime/59062/Gachiakuta;https://image.tmdb.org/t/p/original/mrapJp0qb6Fvo3IW9IrjCK9IgSo.jpg;T1:24;Aoi Ichikawa (Rudo (voice)), Katsuyuki Konishi (Enjin (voice)), Yumiri Hanamori (Riyo (voice));https://image.tmdb.org/t/p/w185/tM1PwSZlOT23ia4PDKkGHJVBd0T.jpg, https://image.tmdb.org/t/p/w185/nYM5cH6U7cp4x9dIzW0enmEKmeV.jpg, https://image.tmdb.org/t/p/w185/zXVwGxsxwEvL1f6wxzTYtxytjDn.jpg;;Galaxy Express 999, 100-man no Inochi no Ue ni Ore wa Tatteiru, Espíritus del Inframundo, Shikabane Hime, TENGOKU-DAIMAKYO;https://www.youtube.com/watch?v=VtHD9MlW6mA
Death Note;Death Note;Jikan (MyAnimeList);Light Yagami encuentra un cuaderno sobrenatural capaz de matar a cualquier persona cuyo nombre sea escrito en él, iniciando una cruzada global para purgar al mundo del crimen bajo el alias de Kira.;https://cdn.myanimelist.net/images/anime/1079/138100l.jpg;Supernatural, Suspense;8.62;37.0;;https://image.tmdb.org/t/p/original/koBa94NxTaGe2FoDzlXMuJptsv0.jpg;T1:37;Mamoru Miyano (Light Yagami (voice)), 中村獅童 (Ryuk (voice)), Aya Hirano (Misa Amane (voice)), Kappei Yamaguchi (L (voice)), Kimiko Saito (Rem (voice)), Naoya Uchida (Soichiro Yagami (voice));https://image.tmdb.org/t/p/w185/nuok8ueG7k9hPZ09Tpr8e7Qn0ah.jpg, https://image.tmdb.org/t/p/w185/dMyf8ZoHD5xkld66h8bEw9QgQZI.jpg, https://image.tmdb.org/t/p/w185/zaSJKfuKhw7e4VTnTKnlHBRzjQU.jpg, https://image.tmdb.org/t/p/w185/mJyxKRZxLv9D7LH5KcNSkjSKYOB.jpg, https://image.tmdb.org/t/p/w185/rPP0jCjtLuEEroY3e2aRT8zonYK.jpg, https://image.tmdb.org/t/p/w185/i1Vl4QbiEsyATmX2HSH2rIEyzeS.jpg;;"Occultic;Nine, Ghost Hunt, Ron Kamonohashi's Forbidden Deductions, The Holy Grail of Eris, ACCA: 13-ku Kansatsu-ka";https://www.youtube.com/watch?v=NlJZ-YgAt-c
Giji Harem;Giji Harem;Jikan (MyAnimeList);Eiji Kitahama tiene el sueño de ser popular y tener un harén de chicas que lo adoren. Su compañera en el club de teatro, Rin Nanakura, ha decidido ayudarle usando sus dotes de actuación para interpretar distintos personajes femeninos. Sin embargo, los sentimientos reales de Rin por él empiezan a aflorar con el tiempo.;https://cdn.myanimelist.net/images/anime/1607/143547l.jpg;Comedy, Romance;7.83;12.0;https://myanimelist.net/anime/54968/Giji_Harem;https://image.tmdb.org/t/p/original/eNKJ8oMulpvNkQ8tJ8WYvWr1glL.jpg;T1:12;Nobuhiko Okamoto (Eiji Kitahama (voice)), Saori Hayami (Rin Nanakura (voice)), Junichi Suwabe (President Motokuni Nakayama (voice)), Koji Yusa (Tsuguto 'Tsu-chan' Iwata (voice)), Maria Abo (Megu (voice));https://image.tmdb.org/t/p/w185/7s1K2yQVF5iIWILaOfG7QrMZkXA.jpg, https://image.tmdb.org/t/p/w185/gLv9lO7dlUbIsmyJUvgegqAAXki.jpg, https://image.tmdb.org/t/p/w185/4S7c3n3r07A83HvkLrnWZGVhiHg.jpg, https://image.tmdb.org/t/p/w185/vBo8dHvZvbG4kax0LcaWvrXUZuX.jpg, https://image.tmdb.org/t/p/w185/cXGUvIFrp0VkQgCqNuupkCioaSK.jpg;;Kawaii dake ja Nai Shikimori-san, Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san, Seiren, Soredemo Ayumu wa Yosetekuru, School Rumble;
Death Parade;Death Parade;Jikan (MyAnimeList);En un bar ubicado entre la vida y la muerte, el bartender Decim juzga a las almas de los fallecidos mediante juegos que revelan la verdad de quiénes fueron en vida. Cada episodio presenta a nuevas almas que deben enfrentar sus memorias y decisiones mientras Decim aprende más sobre la humanidad.;https://cdn.myanimelist.net/images/anime/5/71553l.jpg;Drama, Fantasy, Suspense;8.13;12.0;;https://image.tmdb.org/t/p/original/k6GynBEvx2u8v2tUOMh9hHJ4myd.jpg;T1:12;Asami Seto (Black-haired Woman (voice)), Tomoaki Maeno (Decim (voice)), Misa Kato (Risa (voice)), Yuna Taniguchi (Mai Takada (voice)), Atsumi Tanezaki (Mayu Arita (voice)), Koki Uchiyama (Clavis (voice));https://image.tmdb.org/t/p/w185/iKKCPgKrNd4pJ0iBOC1SBZy2Y4Y.jpg, https://image.tmdb.org/t/p/w185/w3lEuXSbEyzzNyO3YnxsF6wm2N5.jpg, https://image.tmdb.org/t/p/w185/eMimMASenHCojJ5S5R4OrmPvHD0.jpg, https://image.tmdb.org/t/p/w185/zAiaPjmCilD3AhcTdDoGf2z1mUA.jpg, https://image.tmdb.org/t/p/w185/6tM8GU7QvrdUCvR4kxqVUZivtvO.jpg, https://image.tmdb.org/t/p/w185/sllSm3iZZWVLTBrDZQRtWrZUfEj.jpg;Director: 立川譲;Kakegurui, Classroom of the Elite, Tomodachi Game, Corpse Party: Tortured Souls, Platinum End;https://www.youtube.com/watch?v=8ziUXV6t0ow
Grand Blue;Grand Blue;Jikan (MyAnimeList);Iori Kitahara se muda a la ciudad costera de Izu para su primer año universitario, alojándose encima de Grand Blue, la tienda de buceo de su tío. Aunque tiene grandes esperanzas de vivir la experiencia universitaria ideal, acaba siendo arrastrado por el caótico y desternillante estilo de vida de sus nuevos compañeros.;https://cdn.myanimelist.net/images/anime/1302/94882l.jpg;Comedy;8.45;12.0;https://myanimelist.net/anime/37105/Grand_Blue;https://image.tmdb.org/t/p/original/pJqAgDico7ZTMAfAXyzldYqj5ME.jpg;T1:12|T2:12|T3:12;;;;Aharen-san wa Hakarenai, Tonari no Seki-kun, Houkago Teibou Nisshi, Uzaki-chan Wants to Hang Out!, Kaguya-sama wa Kokurasetai;
Detective Conan;Meitantei Conan;Jikan (MyAnimeList);Shinichi Kudo, un detective de secundaria de renombre, es transformado en un niño por una organización criminal tras ser obligado a tomar una droga experimental. Bajo el alias de Conan Edogawa, continúa resolviendo crímenes mientras busca a los hombres de negro y un antídoto para recuperar su cuerpo.;https://cdn.myanimelist.net/images/anime/7/75199l.jpg;Adventure, Comedy, Mystery;8.18;;;https://image.tmdb.org/t/p/original/z67lpMtm8YGykJO4p89meuNMvj8.jpg;T1:1206;Minami Takayama (Conan Edogawa (voice)), Kappei Yamaguchi (Shinichi Kudo (voice)), Wakana Yamazaki (Ran Mouri (voice)), Akemi Okamura (Ran Mouri (voice)), Akira Kamiya (Kogoro Mouri (voice)), Rikiya Koyama (Kogoro Mouri (voice));https://image.tmdb.org/t/p/w185/4Gunxt2UWnAX74ZoXKtqK2rI0e.jpg, https://image.tmdb.org/t/p/w185/mJyxKRZxLv9D7LH5KcNSkjSKYOB.jpg, https://image.tmdb.org/t/p/w185/1hBk3w3v1p1VuAHs5On9nvL2rX2.jpg, https://image.tmdb.org/t/p/w185/qEwVfsrA23SCzRZMSlghw2sHctQ.jpg, https://image.tmdb.org/t/p/w185/tJRMwbWFObv03KhATALs0Xbbgq7.jpg, https://image.tmdb.org/t/p/w185/hsZm87BORLpzhaycBaWOD5xpjVC.jpg;;Kindaichi Shounen no Jikenbo, Paranoia Agent, Kemono Jihen, Akudama Drive, Bishounen Tanteidan;https://www.youtube.com/watch?v=1xl1fQJbl1Y
Hunter x Hunter;Hunter x Hunter;Jikan (MyAnimeList);Gon Freecss, un niño criado en una isla remota, descubre que su padre, al que creía muerto, es en realidad un famoso Cazador. Decidido a encontrarlo, Gon se embarca en la aventura de convertirse en Cazador superando un peligroso examen y descubriendo un mundo lleno de maravillas y peligros.;https://cdn.myanimelist.net/images/anime/1305/132237l.jpg;Action, Adventure, Fantasy;8.44;62.0;https://myanimelist.net/anime/136/Hunter_x_Hunter;https://image.tmdb.org/t/p/original/575sxZXNNulSlIz7DvtWH5r4lkC.jpg;T1:62;Junko Takeuchi (Gon Freecss (voice)), 三橋加奈子 (Killua Zoldyck (voice)), 甲斐田ゆき (Kurapika (voice)), Hozumi Goda (Leorio Paradinight (voice)), Hiroki Takahashi (Hisoka Morow (voice)), 大田詩織 (Baise (voice));https://image.tmdb.org/t/p/w185/zNjrblq3xS1idpCsmSl5P5eTon7.jpg, https://image.tmdb.org/t/p/w185/47itMqJIuXsHnK6FVBl3OoucggL.jpg, https://image.tmdb.org/t/p/w185/ha1k44zoFz1Vlf7LIQBcWYMuCGI.jpg, https://image.tmdb.org/t/p/w185/tEJYYjEPiKqQIapgRmLJ66EYOte.jpg, https://image.tmdb.org/t/p/w185/lFwGUkR5Lj09FVz7s0xwFgQgeRi.jpg, ;Director: Kazuhiro Furuhashi;Hunter × Hunter, SHAMAN KING, Accel World, Marriagetoxin, La Ley de Ueki;https://www.youtube.com/watch?v=0TRs6cMZkQY
Devilman Crybaby;Devilman  Crybaby;TMDB;Los demonios han despertado y la humanidad es presa del caos. Un sensible chico-demonio se verá arrastrado a una violenta guerra contra el mal por su misterioso amigo.;https://image.tmdb.org/t/p/original/vFIk26CGrhDrWgYkTdVqp6dZc48.jpg;Animación, Action & Adventure, Sci-Fi & Fantasy;7.755;10.0;;https://image.tmdb.org/t/p/original/wuUZxHcyQdx3EurPX0CjD8FgbHG.jpg;T1:10;Koki Uchiyama (Akira Fudo (voice)), Ayumu Murase (Ryo Asuka (voice)), Megumi Han (Miki Makimura (voice)), Ami Koshimizu (Miki 'Miko' Kuroda (voice)), KEN THE 390 (Wamu (voice)), Subaru Kimura (Gabi (voice));https://image.tmdb.org/t/p/w185/sllSm3iZZWVLTBrDZQRtWrZUfEj.jpg, https://image.tmdb.org/t/p/w185/3aGM6KpcCIEKOXP9510tzaKc8uw.jpg, https://image.tmdb.org/t/p/w185/cwnwrPg1YvB19TbfouC4ShGPmbQ.jpg, https://image.tmdb.org/t/p/w185/e5sU0stGjTMtFoj0jjHH7OFUqYC.jpg, https://image.tmdb.org/t/p/w185/bWNg2kyGEQ7z9dsEg8kijLBLez8.jpg, https://image.tmdb.org/t/p/w185/8o24ix4Lk9WduRXFDI6Nmip5Deq.jpg;Creador: 永井豪;Sin: Nanatsu no Taizai, High School DxD, Chainsaw Man, Noragami, Dorohedoro;https://www.youtube.com/watch?v=ww06yGPM7Kc
Digimon;Digimon Beatbreak;Jikan (MyAnimeList);En un futuro donde los Digimon han regresado al mundo digital tras largos conflictos, nuevos Tamers forman vínculos con estas criaturas digitales para proteger ambos mundos. La serie presenta a una nueva generación de entrenadores que descubren los misterios y amenazas que acechan tanto al mundo humano como al digital.;https://cdn.myanimelist.net/images/anime/1776/151242l.jpg;Action, Fantasy, Sci-Fi;7.14;;;https://image.tmdb.org/t/p/original/naP3oYVX0vSxpx0HjUkdeKbkfiA.jpg;T1:54|T2:50;木内レイコ (Daisuke Motomiya (voice)), 浦和めぐみ (Iori Hida / Armadimon (voice)), Rio Natsuki (Miyako Inoue (voice)), Hiroaki Hirata (Takeru Takaishi (voice)), Romi Park (Ken Ichijouji / Digimon Kaiser (voice)), Junko Noda (V-mon (voice));, https://image.tmdb.org/t/p/w185/d02D5dxz8bmAuIkG8GrUabKvBW7.jpg, https://image.tmdb.org/t/p/w185/46BlB9cVS0Qq0XnG0lhqbbdbZna.jpg, https://image.tmdb.org/t/p/w185/mMWEdlssJm3TVuXW4Wb7pQeX20Z.jpg, https://image.tmdb.org/t/p/w185/fl9vyA3HEkOyTiZBJBhAR3OSmrO.jpg, https://image.tmdb.org/t/p/w185/zCxTwFNdjTABu5jiMmzvcBSqTTi.jpg;;Digimon Frontier, Digimon Xros Wars, Digimon Savers, Digimon Tamers, Digimon Adventure:;https://www.youtube.com/watch?v=L7yejKT9Y8k
Mushoku Tensei ? Isekai Ittara Honki Dasu;Mushoku Tensei: Isekai Ittara Honki Dasu;Jikan (MyAnimeList);Rudeus Greyrat, un hombre adulto de 34 años con una vida fallida, es reencarnado como bebé en un mundo de fantasía con todos sus recuerdos intactos. Determinado a no desperdiciar esta segunda oportunidad, Rudeus se convierte en un prodigio de la magia mientras navega las complejas relaciones sociales con madurez inesperada.;https://cdn.myanimelist.net/images/anime/1530/117776l.jpg;Adventure, Drama, Fantasy, Ecchi;8.33;11.0;https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu;https://image.tmdb.org/t/p/original/j9fRIimor0AMFJR9kjZubXcABzZ.jpg;T1:23|T2:24|T3:14;Yumi Uchiyama (Rudeus Greyrat (voice)), Tomokazu Sugita (Rudeus Greyrat's Former Self (voice)), Ai Kakuma (Eris Boreas Greyrat (voice)), Ai Kayano (Sylphiette (voice)), Konomi Kohara (Roxy Migurdia (voice));https://image.tmdb.org/t/p/w185/JvavoF3YOLCf4LHfl4XvYobANE.jpg, https://image.tmdb.org/t/p/w185/cv5zuPZySNsHXu24pjKLYCRzJ2J.jpg, https://image.tmdb.org/t/p/w185/o3tQSeeJAeafJNvQs2IKvpKY7av.jpg, https://image.tmdb.org/t/p/w185/l8ywp387rfdAS7mOExe3cEZnsk0.jpg, https://image.tmdb.org/t/p/w185/3wjTzpJpBiTkLexdMmo9a3wfgRT.jpg;;Saihate no Paladin, Seirei Gensouki, The Aristocrat's Otherworldly Adventure: Serving Gods Who Go Too Far, Tsukimichi -Moonlit Fantasy-, Kaminaki Sekai no Kamisama Katsudou;https://www.youtube.com/watch?v=k5VxfJpzy1Q
Dorohedoro;Dorohedoro;Jikan (MyAnimeList);En un mundo subterráneo llamado Hole, un hombre sin rostro conocido como Caiman busca al mago responsable de transformar su cabeza en la de un reptil. Junto a su amiga Nikaido, Caiman enfrenta a magos poderosos mientras intenta recuperar su rostro original y descubrir su verdadera identidad.;https://cdn.myanimelist.net/images/anime/1230/119278l.jpg;Action, Comedy, Fantasy, Horror;8.04;12.0;;https://image.tmdb.org/t/p/original/sASxGVO6wioRG6jNM2LHOjBAgWu.jpg;T1:12|T2:11;Reina Kondo (Nikaido (voice)), Wataru Takagi (Caiman (voice)), Yu Kobayashi (Noi (voice)), Yoshimasa Hosoya (Shin (voice)), Kenyu Horiuchi (En (voice)), Kengo Takanashi (Fujita (voice));https://image.tmdb.org/t/p/w185/yxxLyu5Ya8NftpY5NVR7uy1tzau.jpg, https://image.tmdb.org/t/p/w185/amccLvyTl5JP7T9F05BojgQedNw.jpg, https://image.tmdb.org/t/p/w185/p3OKrnliz2C8ub14Pn5pN3T8Q9B.jpg, https://image.tmdb.org/t/p/w185/lUR5oN1LrqGgp25IOcI1qOH1Ud5.jpg, https://image.tmdb.org/t/p/w185/qIsrjSbtdhmmUdd3xvpDHNWRuJp.jpg, https://image.tmdb.org/t/p/w185/hLf6via4ImfR54sOqD2LakjzsFb.jpg;;"Los apuntes de Vanitas, Shikabane Hime, Isekai One Turn Kill Neesan; Ane Douhan no Isekai Seikatsu Hajimemashita, Ishura, Zom 100: Cien cosas que quiero hacer antes de convertirme en zombi";https://www.youtube.com/watch?v=ZB1ACrzVDRM
Dororo;Dororo;Jikan (MyAnimeList);Durante el período Heian, el joven Hyakkimaru nace sin extremidades, piel ni órganos, pues fueron tomados por demonios a cambio de prosperidad para su padre. Hyakkimaru recorre el Japón feudal con el ladrón Dororo para matar a los demonios y recuperar las partes de su cuerpo que le fueron robadas.;https://cdn.myanimelist.net/images/anime/1879/100467l.jpg;Action, Adventure, Fantasy;8.26;24.0;;https://image.tmdb.org/t/p/original/lLjIOxGIVnUVBHQFCBYzo7OAMHt.jpg;T1:24;鈴木梨央 (Dororo (voice)), 鈴木拡樹 (Hyakkimaru (voice)), Naoya Uchida (Daigo Kagemitsu (voice)), Akio Otsuka (Jukai (voice)), Shoya Chiba (Tahoumaru (voice)), Mutsumi Sasaki (Biwamaru (voice));https://image.tmdb.org/t/p/w185/sDY9AowcBmP1CKZB5NAaehiowc0.jpg, https://image.tmdb.org/t/p/w185/hmY8z9eNtE0it8nNmYaFjlGjR1a.jpg, https://image.tmdb.org/t/p/w185/i1Vl4QbiEsyATmX2HSH2rIEyzeS.jpg, https://image.tmdb.org/t/p/w185/uH9oiqOOgrsz2zNnouVZ1qPzDyb.jpg, https://image.tmdb.org/t/p/w185/pF2urY77wuCYd9Fxh7dTirFYKSF.jpg, https://image.tmdb.org/t/p/w185/vfWeOCWPMONdhcm4B35B0vVhgbj.jpg;Creador: Osamu Tezuka;Sengoku Youko, Berserk: La Historia de la Espada Feroz, Kimetsu no Yaiba: Guardianes de la Noche, Brave 10, Kijin Gentoushou;https://www.youtube.com/watch?v=YgHPBwLu0BA
Sanda;Sanda;Jikan (MyAnimeList);En un futuro donde los niños escasean y son el activo más valioso de Japón, la Navidad se ha convertido en una leyenda del pasado. Para los alumnos de la Academia de Bienestar Daikoku, el mítico Papá Noel es solo un personaje de cuento. Pero cuando aparece un hombre que afirma ser el auténtico Papá Noel, los estudiantes deberán decidir si creerle.;https://cdn.myanimelist.net/images/anime/1364/151767l.jpg;Action, Mystery;7.44;12.0;https://myanimelist.net/anime/59267/Sanda;https://image.tmdb.org/t/p/original/ybdN4cyWBlfgamgYca2XwYL2Kqn.jpg;T1:12;Ayumu Murase (Kazushige Sanda (voice)), Hiroki Touchi (Santa Claus (voice)), Umeka Shouji (Shiori Fuyumura (voice)), Anna Nagase (Ichie Ono (voice)), Yuuki Shin (Hitoshi Amaya (voice)), Misato Matsuoka (Nico Kazao (voice));https://image.tmdb.org/t/p/w185/3aGM6KpcCIEKOXP9510tzaKc8uw.jpg, https://image.tmdb.org/t/p/w185/bU2vogWmnTWiQEwUADWlnBqAPhJ.jpg, https://image.tmdb.org/t/p/w185/PZWLxxNycIa2h7Ul973gECdP6s.jpg, https://image.tmdb.org/t/p/w185/748FmLCklgnN8hrlBZ4bNsF4zpk.jpg, https://image.tmdb.org/t/p/w185/pyOAlLSA9ZabbVy5HD8j9QuUdV8.jpg, https://image.tmdb.org/t/p/w185/zSB8zgGwFGFq2EL3cWobQifsIXt.jpg;;Kill Blue, Munou na Nana, Yamada-kun y las Siete Brujas, Urusei Yatsura, Hyouka;https://www.youtube.com/watch?v=1JCeXH7SVB0
Doukyuusei (Movie) [BD][AinoF];Doukyuusei;Jikan (MyAnimeList);Rihito Sajo y Hikaru Kusakabe son compañeros de clase universitaria que comparten una atracción mutua que ninguno sabe cómo expresar. Esta película corta adapta el manga yaoi homónimo y retrata con sensibilidad y ternura el primer amor entre dos hombres en un ambiente universitario.;https://cdn.myanimelist.net/images/anime/3/78606l.jpg;Boys Love;8.27;1.0;;;;;;;;
Tensei Shitara Slime Datta Ken;Tensei shitara Slime Datta Ken;Jikan (MyAnimeList);Satoru Mikami, un trabajador de oficina de 37 años, muere apuñalado y se despierta en otro mundo reencarnado como una slime. A pesar de su apariencia inofensiva, descubre habilidades únicas que lo hacen extraordinariamente poderoso, y comienza una nueva vida construyendo relaciones con distintas criaturas del mundo de fantasía.;https://cdn.myanimelist.net/images/anime/1069/123309l.jpg;Action, Comedy, Fantasy;8.13;24.0;https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken;https://image.tmdb.org/t/p/original/boeZP8zaXTDBkKPpdAojS6uYKdt.jpg;T1:12;Miho Okasaki (Rimuru (voice)), Makoto Furukawa (Benimaru (voice)), Sayaka Senbongi (Shuna (voice)), Mao Ichimichi (Shion (voice)), Takuya Eguchi (Sōei (voice)), Hochu Otsuka (Hakurou (voice));https://image.tmdb.org/t/p/w185/6vxRulNZRaW47UFvVEq9poRekUx.jpg, https://image.tmdb.org/t/p/w185/inLmBZhrqXeE9wlViyK28ocKJSw.jpg, https://image.tmdb.org/t/p/w185/yLRKX9DPDGgTRKBQRFTUh3pvbU0.jpg, https://image.tmdb.org/t/p/w185/a3cflYtrlFK0LXfWODgLDO7E7CP.jpg, https://image.tmdb.org/t/p/w185/hPPhUp0mM65Lc87Q8WXUEmGQAXx.jpg, https://image.tmdb.org/t/p/w185/3RHQcrsWnAFK6AifSis1lMq08cR.jpg;;Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita, By the Grace of the Gods, That Time I Got Reincarnated as a Slime, Magic Maker: How to Make Magic in Another World, Jahy-Sama Wa Kujikenai!;https://www.youtube.com/watch?v=qYI_0C_l40s
Dr. Stone;Dr. Stone;Jikan (MyAnimeList);Tras que el mundo moderno es destruido por una sustancia llamada Piedra que petrifica a todos los humanos, el genio científico Senku Ishigami despierta milenios después con el objetivo de reconstruir la civilización desde cero. Usando solo la ciencia, Senku busca salvar a la humanidad y descubrir el origen de la catástrofe.;https://cdn.myanimelist.net/images/anime/1613/102576l.jpg;Adventure, Comedy;8.26;24.0;;https://image.tmdb.org/t/p/original/lN13BPAEnc5iXmoxxBQHOZ1ScfZ.jpg;T1:24|T2:11|T3:22|T4:37;Yusuke Kobayashi (Senku Ishigami (voice)), Makoto Furukawa (Taiju Oki (voice)), Kana Ichinose (Yuzuriha Ogawa (voice)), Manami Numakura (Kohaku (voice)), Gen Sato (Chrome (voice)), Kengo Kawanishi (Asagiri Gen (voice));https://image.tmdb.org/t/p/w185/y4ukKDSobZJNuB4H3k89hkrKCDC.jpg, https://image.tmdb.org/t/p/w185/inLmBZhrqXeE9wlViyK28ocKJSw.jpg, https://image.tmdb.org/t/p/w185/hBJx5tpLA2vkXqfkPZosGjW4e8C.jpg, https://image.tmdb.org/t/p/w185/eDbMXgeTCA2D6i7894Ag43RADrk.jpg, https://image.tmdb.org/t/p/w185/gdKxR84xGgU19eqWlPKEGZsiID6.jpg, https://image.tmdb.org/t/p/w185/s0CxrO6LixJBgqiHEUjKelAh8ei.jpg;;Jóvenes en órbita, Conan, el niño del futuro, Girls' Last Tour, Synduality Noir, gen:LOCK;https://www.youtube.com/watch?v=kKBZFM89xYM
