Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Desarrolladores;Editores;Puntuacion_Usuario;Metascore;URL_Slug;Backdrop_URL;Requisitos_Minimos;Requisitos_Recomendados;Recomendaciones;Trailer_URL;Peso_GB
Craft The World v1.10.004;Craft The World;RAWG;2014.0;Craft The World es un singular juego de estrategia sandbox, mezcla de Dungeon Keeper, Terraria y Dwarf Fortress. Guía a una tribu de enanos, reúne recursos, construye una fortaleza y rechaza los ataques nocturnos de monstruos.;https://media.rawg.io/media/screenshots/cfe/cfed2e5b127ab7fce676be22b247ab40.jpg;RPG, Strategy, Simulation, Indie;Dekovir Entertainment;Dekovir Entertainment, Black Maple Games;3.86;;craft-the-world;https://media.rawg.io/media/screenshots/cfe/cfed2e5b127ab7fce676be22b247ab40.jpg;Minimum: OS: Windows XP or later Processor: 2.0 GHz Dual Core CPU Memory: 1 GB RAM Graphics: Intel Graphics DirectX: Version 9.0 Storage: 200 MB available space;Recommended: OS: Windows 7 or later Processor: 2.4 Ghz Dual Core CPU Memory: 4 GB RAM Graphics: 512 MB graphics memory (Radeon HD 4600, GeForce 8600) DirectX: Version 9.0 Storage: 200 MB available space;;;1
Crash Bandicoot 4 Its About Time;Crash Bandicoot 4: It's About Time;RAWG;2020.0;Neo Cortex y N. Tropy han vuelto, lanzando un asalto total no solo a una, sino a todas las dimensiones. Crash y Coco emprenden una épica aventura a través del tiempo y el espacio con nuevas máscaras que otorgan poderes que doblan la realidad.;https://media.rawg.io/media/games/54a/54a14917b3298bbaacdf9873c3af7229.jpg;Action, Platformer;Beenox, Toys for Bob, Iron Galaxy Studios, Activision Shanghai, Hardsuit Labs;Activision Blizzard, Activision Value Publishing;3.94;84.0;crash-bandicoot-4-its-about-time;https://media.rawg.io/media/games/54a/54a14917b3298bbaacdf9873c3af7229.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows® 10 Processor: Intel® Core i3-4340/AMD FX-6300. ARM64 installation not recommended. Memory: 8 GB RAM Graphics: Nvidia GTX 660/AMD Radeon HD 7950 Network: Broadband Internet connection Storage: 30 GB available space;Recommended: Requires a 64-bit processor and operating system OS: Windows® 10 Processor: Intel® Core i5-2500k/AMD Ryzen 5 1600X. ARM64 installation not recommended. Memory: 16 GB RAM Graphics: Nvidia GTX 970/AMD R9 390 Network: Broadband Internet connection Storage: 30 GB available space;;;14
Crisis Core  - Final Fantasy VII -  Reunion v1.0.3;Crisis Core: Final Fantasy VII Reunion;RAWG;2022.0;Una remasterización completa de Crisis Core: FFVII, lanzado originalmente en 2007. Sigue al operativo del SOLDIER Zack Fair y los eventos que precedieron a Final Fantasy VII, incluidos sus fatídicos encuentros con Cloud y Sephiroth.;https://media.rawg.io/media/games/f6c/f6cfffdb246351c35b6f07a8bcf6e748.jpg;Action, Adventure, RPG;Square Enix, Tose Co;Square Enix;3.9;;crisis-core-final-fantasy-vii-reunion;https://media.rawg.io/media/games/f6c/f6cfffdb246351c35b6f07a8bcf6e748.jpg;;;;;16
Crusader Kings III Royal Edition;The Kings' Crusade;RAWG;2010.0;Las casas reales de Europa lanzan una nueva campaña militar para reconquistar Tierra Santa. Lidera a los cruzados cristianos o a las fuerzas sarracenas de Saladino en este juego de estrategia en tiempo real ambientado durante las Cruzadas.;https://media.rawg.io/media/screenshots/da2/da2a7d34431fe85f6ecfab9e27b5d686.jpg;Strategy;;Paradox Interactive;1.67;71.0;the-kings-crusade;https://media.rawg.io/media/screenshots/da2/da2a7d34431fe85f6ecfab9e27b5d686.jpg;"Minimum: OS: Windows XP SP2/Vista/Windows 7 Processor: AMD64 3500+ or Pentium IV 3.2 Ghz Memory: 1 GB RAM (XP)/ 1.5 GB RAM (Vista/7) Hard Disk Space: 8 GB Video Card: Nvidia 6600 (256Mb) / ATI Radeon X700 (256Mb) Sound: DirectX 9-compliant sound card Direct&reg;: 9.0c or higher Additional: Nvidia (AGEIA) PhysX Multiplayer: Steamworks system";"Recommended: OS: Windows XP SP2/Vista/Windows 7 Processor: AMD X2 5000+ or Intel Core2 Duo 6420 Memory: 1.5GB RAM Hard Disk Space: 8 GB Video Card: Nvidia 8800 GT (512Mb) AMD/ATI HD3870 (512Mb) Sound: DirectX 9-compliant sound card Direct&reg;: 9.0c or higher Additional: Nvidia (AGEIA) PhysX Multiplayer: Steamworks system";;;4
Crysis 1 Remastered (build 17.09.2021);Crysis Warhead;RAWG;2008.0;Una expansión independiente del Crysis original que sigue la historia del sargento Sykes durante la misma invasión alienígena. Incluye niveles más amplios y abiertos, acción más explosiva y el mismo sistema de Nanotraje.;https://media.rawg.io/media/games/e34/e344d4b45f3d393d44cbed087279379c.jpg;Action, Shooter;Crytek;Electronic Arts;3.81;84.0;crysis-warhead;https://media.rawg.io/media/games/e34/e344d4b45f3d393d44cbed087279379c.jpg;Minimum: Supported OS: Microsoft Windows XP with Service Pack 2 or Microsoft Vista Processor: Intel Pentium 4 2.8 GHz (3.2 GHz for Vista), Intel Core 2.0 GHz (2.2 GHz for Vista), AMD Athlon 2800+ (3200+ for Vista) or better Memory: 1.0 GB RAM (XP) or 1.5 GB RAM (Vista) Graphics: 256 MB Video Card: NVIDIA GeForce 6800 GT, ATI Radeon 9800 Pro (Radeon X800 Pro for Vista) or better DirectX Version: DirectX 9.0c or 10 Sound: DirectX 9.0c compatible Hard Drive: 15GB;;;;11
Crysis 2 Remastered;Crysis 2;RAWG;2011.0;La secuela de Crysis está ambientada tres años después en una devastada Nueva York. Los alienígenas Ceph han regresado y debes usar el avanzado Nanotraje 2 para contraatacar en las ruinas urbanas.;https://media.rawg.io/media/games/899/899ce332d07c3fc1dd924bf828d1f484.jpg;Action, Shooter;Electronic Arts, Crytek;Electronic Arts;3.85;85.0;crysis-2;https://media.rawg.io/media/games/899/899ce332d07c3fc1dd924bf828d1f484.jpg;Minimum: OS: Windows XP 32-bit Processor: Intel Core 2 Duo E4400 2.0GHz / AMD Athlon 64 X2 Dual Core 4400+ Graphics: AMD Radeon X800 XL or NVIDIA GeForce 7600 GT 256MB RAM: 2 GB HDD: 9 GB DirectX 9 Compatible Graphics Card;Recommended: OS: Windows 7 32-bit Processor: Intel Core 2 Duo E6750 2.66GHz / AMD Athlon II X2 245e Graphics: AMD Radeon HD 4870 or NVIDIA GeForce GTX 280 RAM: 4 GB HDD: 9 GB DirectX 11 Compatible Graphics Card;;;39
Crysis 3 Remastered;Crysis 3;RAWG;2013.0;Ambientada en una Nueva York futurista encerrada en una enorme cúpula, Prophet caza al Alfa Ceph mientras expone una conspiración. Incluye icónicos entornos abiertos, un arco compuesto y el legendario Nanotraje.;https://media.rawg.io/media/games/1c6/1c61ef4ce04bce876841118580b03ccb.jpg;Action, Shooter, Adventure, Strategy;Electronic Arts, Crytek;Electronic Arts;3.7;76.0;crysis-3;https://media.rawg.io/media/games/1c6/1c61ef4ce04bce876841118580b03ccb.jpg;Minimum: OS: Windows 7 or Windows 8 Processor: 2.4 GHz Intel Core 2 Duo / 2.7 GHz AMD Athlon 64X2 Memory: 3 GB RAM Graphics: 1 GB Video RAM or better / NVidia GTS 450 or AMD Radeon HD5770 DirectX: Version 11 Network: Broadband Internet connection Storage: 17 GB available space;Recommended: OS: Windows 7 or Windows 8 Processor: 2.4 GHz Intel Core i5-750 / 2.7 GHz AMD Phenom II X4 805 Memory: 4 GB RAM Graphics: 1 GB Video RAM or better / NVidia GTX560 or AMD Radeon HD5870 DirectX: Version 11 Network: Broadband Internet connection Storage: 17 GB available space;;;17
Crysis Collection;Crysis Warhead;RAWG;2008.0;Una expansión independiente del Crysis original que sigue la historia del sargento Sykes durante la misma invasión alienígena, con niveles más amplios y acción más explosiva.;https://media.rawg.io/media/games/e34/e344d4b45f3d393d44cbed087279379c.jpg;Action, Shooter;Crytek;Electronic Arts;3.81;84.0;crysis-warhead;https://media.rawg.io/media/games/e34/e344d4b45f3d393d44cbed087279379c.jpg;Minimum: Supported OS: Microsoft Windows XP with Service Pack 2 or Microsoft Vista Processor: Intel Pentium 4 2.8 GHz (3.2 GHz for Vista), Intel Core 2.0 GHz (2.2 GHz for Vista), AMD Athlon 2800+ (3200+ for Vista) or better Memory: 1.0 GB RAM (XP) or 1.5 GB RAM (Vista) Graphics: 256 MB Video Card: NVIDIA GeForce 6800 GT, ATI Radeon 9800 Pro (Radeon X800 Pro for Vista) or better DirectX Version: DirectX 9.0c or 10 Sound: DirectX 9.0c compatible Hard Drive: 15GB;;;;8
Cult of the Lamb v1.4.6.596;Cult of the Lamb;RAWG;2022.0;Funda tu propio culto en una tierra de falsos profetas. Aventúrate en mazmorras diversas y misteriosas, derrota enemigos y reúne recursos, luego regresa para construir y gestionar tu comuna de devotos seguidores del bosque.;https://media.rawg.io/media/games/ab8/ab8217a1fe2ced388a388722734e6d16.jpg;Action, Adventure, Strategy, Indie;Massive Monster;Devolver Digital;4.1;;cult-of-the-lamb;https://media.rawg.io/media/games/ab8/ab8217a1fe2ced388a388722734e6d16.jpg;"Minimum: Requires a 64-bit processor and operating system OS: Windows 7 or later Processor: Intel Core i3-3240 (2 * 3400); AMD FX-4300 (4 * 3800) Memory: 4 GB RAM Graphics: GeForce GTX 560 Ti (1024 VRAM); Radeon HD 7750 (1024 VRAM) Storage: 4 GB available space";"Recommended: Requires a 64-bit processor and operating system OS: Windows 10 Processor: Intel Core i5-3470 Memory: 8 GB RAM Graphics: GeForce GTX 1050 (2048 VRAM); Radeon R9 380 (2048 VRAM) Storage: 4 GB available space";;;2
Cuphead v1.3.2 + Update 1.3.4;Cuphead;RAWG;2017.0;Un plataformas de acción 2D dibujado a mano con estética de dibujos animados de los años 30. Enfrenta implacables combates contra jefes con una dificultad brutal, música de jazz e inspiración en los estudios Fleischer.;https://media.rawg.io/media/games/226/2262cea0b385db6cf399f4be831603b0.jpg;Action, Indie, Platformer;Studio MDHR;StudioMDHR Entertainment, Studio MDHR;4.37;87.0;cuphead;https://media.rawg.io/media/games/226/2262cea0b385db6cf399f4be831603b0.jpg;;;;https://steamcdn-a.akamaihd.net/steam/apps/256686892/movie_max.mp4;5
Cyberpunk 2077 v2.31;Cyberpunk 2077: Phantom Liberty;RAWG;2023.0;Phantom Liberty es una nueva aventura de thriller de espías para Cyberpunk 2077. Cuando el transbordador orbital de la presidenta de la NUSA es derribado sobre Dogtown, V es llamado por la FIA para una misión de rescate en el distrito más peligroso de la ciudad.;https://media.rawg.io/media/games/062/06285b425e61623530c5430f20e5d222.jpg;Action, Shooter;CD PROJEKT RED;CD PROJEKT RED;4.71;;cyberpunk-2077-phantom-liberty;https://media.rawg.io/media/games/062/06285b425e61623530c5430f20e5d222.jpg;;;;;80
Danganronpa.V3.Killing.Harmony-CODEX;Codex of Victory;RAWG;2017.0;Codex of Victory es una estrategia por turnos de ciencia ficción ambientada en una guerra futurista entre humanos biológicos y cyborgs transhumanistas, con construcción de bases entre batallas.;https://media.rawg.io/media/screenshots/96c/96c02bb89cb8f438143b5b60d48d16f2.jpeg;Adventure, Strategy, Indie;Ino-Co Plus, AKPublish;1C Company, AKPublish pty;3.0;;codex-of-victory;https://media.rawg.io/media/screenshots/96c/96c02bb89cb8f438143b5b60d48d16f2.jpeg;Minimum: OS: Microsoft Windows Vista/7/8/8.1/10 (64-bit) Processor: Intel Core 2 Duo 2.0 GHz or AMD Athlon 64 X2 4600+ Memory: 2 GB RAM Graphics: NVidia / AMD / Intel (HD 3000 or better) with 512 MB VRAM DirectX: Version 9.0c Network: Broadband Internet connection Storage: 2 GB available space;Recommended: OS: Microsoft Windows Vista/7/8/8.1/10 (64-bit) Processor: Intel Core i5 3.20 GHz or AMD Phenom II X4 805 Memory: 4 GB RAM Graphics: NVidia / AMD / Intel (HD 3000 or better) with 1 GB VRAM DirectX: Version 10 Network: Broadband Internet connection Storage: 2 GB available space;;https://steamcdn-a.akamaihd.net/steam/apps/256671664/movie_max.mp4;21
Dark Souls 2 Scholar of the First v1.02;Dark Souls II: Scholar of the First Sin;RAWG;2015.0;Una nueva perspectiva de la saga Souls, ambientada en Drangleic. Los jugadores deben superar implacables enemigos y jefes mientras descubren la trágica historia del reino. Scholar of the First Sin mejora la experiencia con todo el DLC y posiciones de enemigos reorganizadas.;https://media.rawg.io/media/games/8fc/8fc59e74133fd8a8a436b7e2d0fb36c2.jpg;Action, RPG;BANDAI NAMCO Entertainment America, FromSoftware;Bandai Namco Entertainment, BANDAI NAMCO Entertainment US, FromSoftware;4.14;79.0;dark-souls-ii-scholar-of-the-first-sin;https://media.rawg.io/media/games/8fc/8fc59e74133fd8a8a436b7e2d0fb36c2.jpg;Minimum: OS: Windows 7 SP1 64bit, Windows 8.1 64bit Processor: AMD® A8 3870 3,6 Ghz or Intel® Core ™ i3 2100 3.1Ghz Memory: 4 GB RAM Graphics: NVIDIA® GeForce GTX 465 / ATI Radeon TM HD 6870 DirectX: Version 11 Network: Broadband Internet connection Storage: 23 GB available space Sound Card: DirectX 11 sound device;Recommended: OS: Windows 7 SP1 64bit, Windows 8.1 64bit Processor: AMD® FX 8150 3.6 GHz or Intel® Core™ i7 2600 3.4 GHz Memory: 8 GB RAM Graphics: NVIDIA® GeForce® GTX 750, ATI Radeon™ HD 7850 DirectX: Version 11 Network: Broadband Internet connection Storage: 23 GB available space Sound Card: DirectX 11 sound device;;;14
Dark Souls 3 v1.151.35;Dark Souls III;RAWG;2016.0;La cuarta entrega de la saga Dark Souls. En el reino de Lothric, la Primera Llama se apaga una vez más. Un nuevo No-muerto Encendido se levanta para enfrentarse a poderosos Señores de Ceniza y desentrañar los secretos de un mundo agonizante.;https://media.rawg.io/media/games/da1/da1b267764d77221f07a4386b6548e5a.jpg;Action, RPG;BANDAI NAMCO Entertainment America, FromSoftware;Bandai Namco Entertainment, BANDAI NAMCO Entertainment US, FromSoftware;4.4;89.0;dark-souls-iii;https://media.rawg.io/media/games/da1/da1b267764d77221f07a4386b6548e5a.jpg;Minimum: OS: Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit Processor: Intel Core i3-2100 / AMD® FX-6300 Memory: 4 GB RAM Graphics: NVIDIA® GeForce GTX 750 Ti / ATI Radeon HD 7950 DirectX: Version 11 Network: Broadband Internet connection Storage: 25 GB available space Sound Card: DirectX 11 sound device Additional Notes: Internet connection required for online play and product activation;Recommended: OS: Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit Processor: Intel Core i7-3770 / AMD® FX-8350 Memory: 8 GB RAM Graphics: NVIDIA® GeForce GTX 970 / ATI Radeon R9 series DirectX: Version 11 Network: Broadband Internet connection Storage: 25 GB available space Sound Card: DirectX 11 sound device Additional Notes: Internet connection required for online play and product activation;;;23
Dark Souls Remastered;Dark Souls;RAWG;2011.0;Una aventura de complejidad sobrecogedora ambientada en Lordran, la tierra de los antiguos señores. Muere, aprende y persevera en un mundo de fantasía oscura con enemigos letales y poderosos jefes interconectados sin costuras.;https://media.rawg.io/media/games/582/582b5518a52f5086d15dde128264b94d.jpg;Action, RPG;BANDAI NAMCO Entertainment America, FromSoftware;Bandai Namco Entertainment, BANDAI NAMCO Entertainment US;4.34;89.0;dark-souls;https://media.rawg.io/media/games/582/582b5518a52f5086d15dde128264b94d.jpg;;;;;6
Darkest Dungeon 1 v25688;Darkest Dungeon;RAWG;2016.0;Darkest Dungeon es un RPG roguelike sobre el estrés psicológico que generan las expediciones. Recluta, entrena y gestiona a un grupo de héroes imperfectos mientras exploran las ruinas bajo el gótico solar de tu ancestro.;https://media.rawg.io/media/games/fd9/fd92f105dcd6491bc5d61135033d1f19.jpg;RPG, Strategy, Indie;Red Hook Studios;Red Hook Studios;4.17;84.0;darkest-dungeon;https://media.rawg.io/media/games/fd9/fd92f105dcd6491bc5d61135033d1f19.jpg;Minimum: OS: Windows XP Memory: 2 GB RAM Graphics: Open GL 3.2+ Compliant Storage: 2 GB available space Additional Notes: 1080p, 16:9 recommended;Recommended: OS: Windows 7+ Memory: 4 GB RAM Graphics: Open GL 3.2+ Compliant Storage: 2 GB available space Additional Notes: 1080p, 16:9 recommended;;;3
Darkest Dungeon 2 v67054;Darkest Dungeon 2;RAWG;2023.0;La esperada secuela del RPG de horror gótico. Viaja por un mundo roto en una diligencia, enfrentando horrores crecientes. Tus héroes cargan con su propio trauma y relaciones que afectan a cada partida.;https://media.rawg.io/media/games/aea/aeaab29c551ea9919e571c44e75a5106.jpg;RPG, Strategy;Red Hook Studios;;3.82;;darkest-dungeon-2;https://media.rawg.io/media/games/aea/aeaab29c551ea9919e571c44e75a5106.jpg;;;;;4
Darksiders;Darksiders;RAWG;2010.0;En Darksiders juegas como War, uno de los Cuatro Jinetes del Apocalipsis. Falsamente acusado de desencadenar prematuramente el Fin de los Días, War debe regresar a la Tierra para limpiar su nombre ante una conspiración de demonios y ángeles.;https://media.rawg.io/media/games/8d4/8d46786ca86b1d95f3dc7e700e2dc4dd.jpg;Action;THQ, Vigil Games;THQ Nordic, THQ;3.76;83.0;darksiders;https://media.rawg.io/media/games/8d4/8d46786ca86b1d95f3dc7e700e2dc4dd.jpg;Minimum: OS: Windows XP SP3, Vista SP1, Windows 7, DirectX 9.0c Processor: AMD Athlon 64 Processor 3800+ 2.4Ghz or better, Intel Pentium 4 530 3.0Ghz Processor or better Memory: 1GB XP, 2GB Vista / Windows 7 Hard Disk Space: 12GB Video Card: NVIDIA (GeForce 8800/GeForce GT220) 256MB graphics card or better, ATI Radeon X1900 256MB graphics card or better ( must support pixel shader 3 );Recommended: OS: Windows XP SP3, Vista SP1, Windows 7, DirectX 9.0c Processor: AMD Athlon 64 X2 5200+ Dual Core 2.60Ghz, Intel Core 2 Duo E6420 Dual Core 2.13Ghz Memory: 2GB XP, 3GB Vista / Windows 7 Hard Disk Space: 12GB Video Card: NVIDIA (GeForce GTS 240) 256MB graphics card or better, ATI Radeon HD3870 256MB graphics card or better ( must support pixel shader 3 );;;14
Darksiders II Deathinitive Edition;Darksiders II Deathinitive Edition;RAWG;2015.0;Conviértete en la temible fuerza que todo lo teme pero que nada puede escapar. Juega como Muerte, otro de los Jinetes del Apocalipsis, en una misión para resucitar a su hermano War y descubrir la verdad detrás del apocalipsis.;https://media.rawg.io/media/games/cfe/cfe5960b5caca432f3575fc7d8ff736b.jpg;Action, RPG;THQ Nordic, Vigil Games, Gunfire Games;THQ Nordic, Nordic Games Publishing;3.79;75.0;darksiders-ii-deathinitive-edition;https://media.rawg.io/media/games/cfe/cfe5960b5caca432f3575fc7d8ff736b.jpg;Minimum: OS: Windows XP, Windows Vista SP1, Windows 7, Windows 8 or Windows 10 (64bit) Processor: 2.0Ghz Intel® Core™2 Duo Processor or AMD equivalent Memory: 4 GB RAM Graphics: NVIDIA 9800 GT 512 MB Video Card or AMD equivalent DirectX: Version 9.0c Storage: 13 GB available space Sound Card: DirectX compatible Sound card;Recommended: OS: Windows 7, Windows 8 or Windows 10 (64bit) Processor: Any Quad-core AMD or Intel Processor Memory: 8 GB RAM Graphics: NVIDIA GeForce GTX 260 512MB Video Card or AMD equivalent DirectX: Version 9.0c Storage: 13 GB available space Sound Card: DirectX compatible Sound card;;;14
Days Gone v1.06;Days Gone;RAWG;2019.0;Days Gone es una aventura de acción en mundo abierto ambientada dos años después de una pandemia global. Controla a Deacon St. John, un ex-motero sobreviviendo en un devastado Noroeste del Pacífico infestado de Freakers: salvajes criaturas similares a zombis.;https://media.rawg.io/media/games/a79/a79d2fc90c4dbf07a8580b19600fd61d.jpg;Action;Bend Studio, SIE Bend Studio;Sony Interactive Entertainment, PlayStation PC, PlayStation Mobile;3.97;74.0;days-gone;https://media.rawg.io/media/games/a79/a79d2fc90c4dbf07a8580b19600fd61d.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows 10 64-bits Processor: Intel Core i5-2500K@3.3GHz or AMD FX 6300@3.5GHz Memory: 8 GB RAM Graphics: Nvidia GeForce GTX 780 (3 GB) or AMD Radeon R9 290 (4 GB) DirectX: Version 11 Storage: 70 GB available space Additional Notes: Though not required, SSD for storage and 16 GB of memory is recommended;Recommended: Requires a 64-bit processor and operating system OS: Windows 10 64-bits Processor: Intel Core i7-4770K@3.5GHz or Ryzen 5 1500X@3.5GHz Memory: 16 GB RAM Graphics: Nvidia GeForce GTX 1060 (6 GB) or AMD Radeon RX 580 (8 GB) DirectX: Version 11 Storage: 70 GB available space Additional Notes: Though not required, SSD for storage is recommended;;;35
Dead Cells v20.06.2023;Dead Cells;RAWG;2018.0;Dead Cells es un juego roguelike de tipo Metroidvania desarrollado por Motion Twin. Sin historia, sin puntos de control, sin zonas seguras: solo dominio a través de repetidas partidas en un castillo siempre cambiante, con progresión permanente desbloqueada por el camino.;https://media.rawg.io/media/games/f90/f90ee1a4239247a822771c40488e68c5.jpg;Action, RPG, Indie, Platformer;Plug In Digital, Playdigious, Motion Twin;Plug In Digital, Playdigious, Motion Twin;4.23;88.0;dead-cells;https://media.rawg.io/media/games/f90/f90ee1a4239247a822771c40488e68c5.jpg;7 / 8 / 10Processor: Intel i5+Memory: 4 GB RAMGraphics: Nvidia GTX 460 / Radeon HD 7800 or betterStorage: 500 MB available spaceMouse, KeyboardAdditional Notes: OpenGL 3.2+;;;https://steamcdn-a.akamaihd.net/steam/apps/256679287/movie_max.mp4;2
Dead Island 2 Gold Edition;Dead Island 2;RAWG;2023.0;Un mortal virus se propaga por Los Ángeles, convirtiendo a sus habitantes en zombis salvajes. Eres uno de los pocos supervivientes inmunes. Explora un paraíso bañado de sol y lleno de gore, y mejora armas para masacrar a los muertos vivientes.;https://media.rawg.io/media/games/9cd/9cd22ae5aebd922f96f2bc50efab83df.jpg;Action, Adventure;Dambuster Studios;Deep Silver;3.67;75.0;dead-island-2;https://media.rawg.io/media/games/9cd/9cd22ae5aebd922f96f2bc50efab83df.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows 10 Processor: AMD FX-9590 / Intel Core i7-7700HQ Memory: 10 GB RAM Graphics: Radeon R9 390X (8192 VRAM) / GeForce GTX 1060 (6144 VRAM) DirectX: Version 12 Storage: 70 GB GB available space;Recommended: Requires a 64-bit processor and operating system OS: Windows 10 Processor: Ryzen 5 5600X / Intel Core i9-9900k Memory: 10 GB RAM Graphics: Radeon RX 6800 XT (16384 VRAM) / GeForce RTX 2070 Super (8192 MB) DirectX: Version 12 Storage: 70 GB GB available space;;;45
Deadpool - The Video Game;Up: The Video Game;RAWG;2009.0;Como en los cómics, este mercenario tan particular hará uso de un variado arsenal de armas de fuego y herramientas de combate cuerpo a cuerpo, así como diferentes artilugios letales como granadas o explosivos. En este sentido, cada una de estas armas contará movimientos de ataque exclusivos que deberemos usar con cabeza –habrá combos-, permitiéndonos incluso combinar varias de estas para causar mayores estragos entre las filas enemigas. ¿Lo mejor? Que Deadpool se comporta y actúa de la misma forma que en los cómics, lo que significa que todos y cada uno de sus movimientos de ataque destacarán por su originalidad y brutalidad.;https://media.rawg.io/media/screenshots/f84/f84ff165f43221fb4cece075d7ddce8b.jpg;Action, Arcade, Family, Platformer;Asobo Studio, Heavy Iron Studios;THQ;2.78;;up;https://media.rawg.io/media/screenshots/f84/f84ff165f43221fb4cece075d7ddce8b.jpg;;;;;4
Death Stranding Directors Cut;Death Stranding Director's Cut;RAWG;2021.0;Sam Bridges debe atravesar un mundo completamente transformado por el Death Stranding. Cargando sobre sus hombros los fragmentos desconectados del futuro, debe cruzar un Estados Unidos abandonado para reconectar la civilización y entregar esperanza.;https://media.rawg.io/media/games/b6f/b6fa0cde8a1204c7d6edc2ec3c753df9.jpg;Action, Adventure;Kojima Productions;Sony Interactive Entertainment, 505 Games;4.27;;death-stranding-directors-cut;https://media.rawg.io/media/games/b6f/b6fa0cde8a1204c7d6edc2ec3c753df9.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows® 10 Processor: Intel® Core™ i5-3470 or AMD Ryzen™ 3 1200 Memory: 8 GB RAM Graphics: GeForce GTX 1050 4 GB or AMD Radeon™ RX 560 4 GB DirectX: Version 12 Storage: 80 GB available space Sound Card: DirectX compatible Additional Notes: AVX instruction set required;Recommended: Requires a 64-bit processor and operating system OS: Windows® 10 Processor: Intel™ Core i7-3770 or AMD Ryzen™ 5 1600 Memory: 8 GB RAM Graphics: GeForce GTX 1060 6 GB or AMD Radeon™ RX 590 DirectX: Version 12 Storage: 80 GB available space Sound Card: DirectX compatible Additional Notes: AVX instruction set required;;;69
Decay of Logos v1.05;Decay of Logos;RAWG;2019.0;Un action-RPG con jugabilidad mezcla de Zelda y Dark Souls. Explora un vasto reino junto a un mítico alce compañero, descubriendo un antiguo relato de traición y venganza.;https://media.rawg.io/media/screenshots/00c/00c9da3e696a00e916a4d3e5c9e71a86.jpg;Action, Adventure, RPG, Indie;Amplify Creations;Rising Star Games;2.17;37.0;decay-of-logos;https://media.rawg.io/media/screenshots/00c/00c9da3e696a00e916a4d3e5c9e71a86.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows 10 (64-bit OS required) Processor: Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz or AMD FX 8350 Memory: 4 GB RAM Graphics: 2 GB, GeForce GTX 660/Radeon HD 7850 DirectX: Version 11 Storage: 6 GB available space;Recommended: Requires a 64-bit processor and operating system OS: Windows 10 (64-bit OS required) Processor: Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz or AMD R5 1600 Memory: 8 GB RAM Graphics: 3 GB, GeForce GTX 960/R9 285 DirectX: Version 11 Storage: 6 GB available space;;;2
Detroit Become Human;Detroit: Become Human;RAWG;2018.0;En el mundo del futuro, los androides hacen casi todo lo que hacen las personas. Tres androides  - Kara, Connor y Markus -  se enfrentan a un punto de inflexión en su existencia. Sus decisiones determinarán si los androides siguen siendo esclavos o luchan por su libertad.;https://media.rawg.io/media/games/951/951572a3dd1e42544bd39a5d5b42d234.jpg;Action, Adventure;Quantic Dream;Sony Computer Entertainment, Quantic Dream;4.34;79.0;detroit-become-human;https://media.rawg.io/media/games/951/951572a3dd1e42544bd39a5d5b42d234.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows 10 (64 bit) Processor: Intel Core i5-2300 @ 2.8 GHz or AMD Ryzen 3 1200 @ 3.1GHz or AMD FX-8350 @ 4.2GHz Memory: 8 GB RAM Graphics: Nvidia GeForce GTX 780 or AMD HD 7950 with 3GB VRAM minimum (Support of Vulkan 1.1 required) Storage: 55 GB available space;Recommended: Requires a 64-bit processor and operating system OS: Windows 10 (64 bit) Processor: Intel Core i5-6600 @ 3.3 GHz or AMD Ryzen 3 1300 X @ 3.4 GHz Memory: 12 GB RAM Graphics: Nvidia GeForce GTX 1060 or AMD Radeon RX 580 with 4GB VRAM minimum (Support of Vulkan 1.1 required) Storage: 55 GB available space;;;52
Devil May Cry 3 Special Edition v1.3;Devil May Cry 3: Dante's Awakening;RAWG;2005.0;Dante regresa en Devil May Cry 3 Special Edition con nuevas formas estilosas de combate. Una precuela del juego original que sigue a un joven Dante enfrentándose a su hermano gemelo Vergil y despertando a su herencia demoníaca.;https://media.rawg.io/media/games/912/9128672600b6f23f28c438fc4963e042.jpg;Action;Capcom U.S.A;Capcom;4.38;78.0;devil-may-cry-3;https://media.rawg.io/media/games/912/9128672600b6f23f28c438fc4963e042.jpg;;;;;3
Diablo II Complete Edition;Diablo II;RAWG;2000.0;Diablo II es un hack-and-slash action-RPG desarrollado por Blizzard Entertainment. Lucha contra las fuerzas del Infierno a través de cinco actos, eligiendo entre múltiples clases de personajes, en el icónico dungeon crawler que definió el género.;https://media.rawg.io/media/games/8f7/8f79c37b124822e59af54023ae6bb384.jpg;Action, RPG;Blizzard North;Blizzard Entertainment;4.38;88.0;diablo-2;https://media.rawg.io/media/games/8f7/8f79c37b124822e59af54023ae6bb384.jpg;;;;;4
